Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
WS,connect,1428,0,26,45.338742031560265,4.898939998383867,984.0360499983944,0.0,4.7772965046278255,0.0,26,36,45,51,77,120,190,660,970,980,980
WS,final,1332,6,10000,10276.178582857343,4863.44594899856,15058.78396999833,520.2935435435436,4.456133714400745,0.020072674389192545,10000,10000,11000,11000,11000,12000,13000,14000,15000,15000,15000
WS,server_processing,1326,0,10000,10247.972247360482,4860.2,14775.7,522.6478129713424,4.436061040011553,0.0,10000,10000,11000,11000,11000,12000,12000,14000,15000,15000,15000
WS,stream,1380,0,10000.015950998204,10006.949272037677,10000.015950998204,10195.523864000279,320000.0,4.616715109514286,0.0,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
,Aggregated,5466,6,10000,7528.542771935435,4.898939998383867,15058.78396999833,81043.91913648006,18.28620636855441,0.020072674389192545,10000,10000,10000,10000,11000,11000,12000,12000,15000,15000,15000
