Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
WS,connect,1258,0,10,29.45506704135396,2.491210001608124,641.9930890006071,0.0,4.209096790369018,0.0,10,16,25,36,85,140,170,190,560,640,640
WS,final_before_flush,1253,0,510,687.4548272936371,430.88790899855667,3330.956920999597,251.951316839585,4.1923674708524485,0.0,510,570,640,720,1200,1700,2400,2700,3300,3300,3300
WS,server_processing,1253,0,160,328.7328012769353,89.1,2980.7000000000003,251.951316839585,4.1923674708524485,0.0,160,220,280,360,830,1400,1900,2300,3000,3000,3000
WS,stream,1224,0,10000.08035800056,10001.027314320263,10000.08035800056,10042.078130001755,320000.0,4.095337417656342,0.0,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
,Aggregated,4988,0,450,2716.8394157307466,2.491210001608124,10042.078130001755,78651.04049719326,16.689169149730258,0.0,450,640,2700,10000,10000,10000,10000,10000,10000,10000,10000
