Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
WS,connect,1250,0,8,11.637989196702256,3.4403690006001852,235.0411110019195,0.0,4.187931950975187,0.0,8,9,12,14,23,32,48,60,140,240,240
WS,final_before_flush,1248,0,460,514.702864586539,431.60981300025014,4125.659737001115,251.94951923076923,4.181231259853628,0.0,460,470,480,490,520,600,1200,2700,4100,4100,4100
WS,server_processing,1248,0,110,170.07988782051302,90.1,3780.7,251.94951923076923,4.181231259853628,0.0,110,120,140,140,170,240,860,2300,3800,3800,3800
WS,stream,1204,0,10000.101469002402,10001.34837633975,10000.101469002402,10034.583155000291,320000.0,4.033816055179301,0.0,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
,Aggregated,4950,0,430,2608.238344770297,3.4403690006001852,10034.583155000291,77961.38707070707,16.584210525861742,0.0,430,470,1900,10000,10000,10000,10000,10000,10000,10000,10000
